vehicle_id,ev_model_name,battery_pack_id,age_months,odometer_km,fast_charging_share,avg_daily_km,avg_temperature,voltage_mean,current_mean,soh_percent,rul_months,rul_cycles,rul_cycles
EV1407,Tesla Model 3,BAT046,64,49552,64,25.8,20.32,368.52,279.18,69.19,26.3,1172,1172
EV1408,Mahindra XUV400,BAT016,43,84291,45,65.3,22.5,416.45,179.63,86.24,75,1171,1171
EV1409,BMW i4,BAT006,8,11431,53,47.6,33.43,373.74,276.75,92.65,93.3,1170,1170
EV1410,MG ZS EV,BAT049,71,38736,25,18.2,38.56,398.52,139.77,80.2,57.7,1169,1169
EV1411,MG ZS EV,BAT015,53,97508,56,61.3,31.05,368.1,199.89,60,0,1168,1168
EV1412,Tata Nexon EV,BAT003,65,122905,36,63,30.6,414.06,151.35,60,0,1167,1167
EV1413,BMW i4,BAT023,76,135477,32,59.4,25.82,409.16,126.43,75.52,44.3,1166,1166
EV1414,Mahindra XUV400,BAT015,26,18094,65,23.2,25.08,411.11,259.39,79.37,55.3,1165,1165
EV1415,Tesla Model 3,BAT024,27,26408,12,32.6,36.05,394.87,116.13,93.45,95.6,1164,1164
EV1416,Tata Nexon EV,BAT006,44,26820,70,20.3,24.17,418.46,152.99,75.34,43.8,1163,1163
EV1417,Hyundai Kona EV,BAT046,68,115845,7,56.8,30.06,367.47,115.61,60,0,1162,1162
EV1418,Nissan Leaf,BAT018,88,158377,62,60,42.33,362.42,286.03,67.19,20.5,1161,1161
EV1419,Kia EV6,BAT042,79,106777,36,45.1,20.93,375,117.01,60,0,1160,1160
EV1420,Nissan Leaf,BAT037,84,57906,68,23,24.75,375.22,144.94,70.01,28.6,1159,1159
EV1421,Tata Nexon EV,BAT050,93,177187,62,63.5,40.09,350.67,173,73.92,39.8,1158,1158
EV1422,Kia EV6,BAT004,71,119241,31,56,25.92,363.02,295.88,60,0,1157,1157
EV1423,MG ZS EV,BAT020,69,76912,68,37.2,23.03,403.41,256.07,66.09,17.4,1156,1156
EV1424,Nissan Leaf,BAT011,62,78314,27,42.1,29.89,398.7,152.4,73.76,39.3,1155,1155
EV1425,Kia EV6,BAT001,6,3345,10,18.6,23.56,394.35,177.84,98.09,108.8,1154,1154
EV1426,Tata Nexon EV,BAT035,63,53173,28,28.1,34.05,394.62,295.83,67.77,22.2,1153,1153
EV1427,BMW i4,BAT032,80,154285,58,64.3,24.95,416.84,169.17,72.28,35.1,1152,1152
EV1428,Hyundai Kona EV,BAT039,91,176776,55,64.8,42.03,412.15,195.66,60,0,1151,1151
EV1429,Tesla Model 3,BAT034,75,138710,36,61.6,34.06,371.39,214.2,72.22,34.9,1150,1150
EV1430,Tata Nexon EV,BAT007,14,8342,63,19.9,33.96,392.07,114.98,94.51,98.6,1149,1149
EV1431,Audi e-tron,BAT001,67,71024,10,35.3,21.02,360.01,223.66,72.29,35.1,1148,1148
EV1432,Kia EV6,BAT018,18,10898,67,20.2,40.7,363.44,206.99,93.35,95.3,1147,1147
EV1433,Audi e-tron,BAT016,12,17302,65,48.1,29.79,415.18,251.02,94.84,99.5,1146,1146
EV1434,Mahindra XUV400,BAT011,79,77763,28,32.8,32.91,413.44,180.43,60,0,1145,1145
EV1435,Kia EV6,BAT047,68,57075,27,28,29.73,350.76,290.6,65.55,15.9,1144,1144
EV1436,MG ZS EV,BAT021,42,59015,43,46.8,20.12,374.19,238.65,76.68,47.7,1143,1143
EV1437,Nissan Leaf,BAT032,88,78697,17,29.8,37.51,408.25,206.71,60,0,1142,1142
EV1438,BMW i4,BAT027,18,14366,14,26.6,23.71,396.44,281.94,89.07,83.1,1141,1141
EV1439,BYD Atto 3,BAT017,11,21699,52,65.8,29,371.22,147.35,95.76,102.2,1140,1140
EV1440,Tata Nexon EV,BAT008,8,14459,17,60.2,30.95,400.15,229.78,97.47,107.1,584,584
EV1441,Kia EV6,BAT042,71,43622,48,20.5,26.66,390.75,150.48,60,0,583,583
EV1442,BMW i4,BAT032,86,111729,68,43.3,23.8,394.06,160.17,60,0,582,582
EV1443,BMW i4,BAT010,23,33607,38,48.7,21.64,381.96,105.15,87.91,79.7,581,581
EV1444,MG ZS EV,BAT019,48,42705,53,29.7,33.06,383.73,199.9,80.82,59.5,580,580
EV1445,Tata Nexon EV,BAT022,27,53057,40,65.5,22.01,357.17,195.5,86.22,74.9,579,579
EV1446,Audi e-tron,BAT011,28,32764,47,39,40.82,369.85,281.56,81.64,61.8,578,578
EV1447,MG ZS EV,BAT003,49,34974,45,23.8,44.15,372.68,108.72,78.25,52.1,577,577
EV1448,Kia EV6,BAT001,52,91572,25,58.7,29.76,399.99,197.2,78.36,52.5,576,576
EV1449,BYD Atto 3,BAT018,15,17676,24,39.3,31.69,378.13,246.84,89.21,83.5,575,575
EV1450,Hyundai Kona EV,BAT032,93,49628,44,17.8,31.47,353.33,228.16,60,0,574,574
EV1451,MG ZS EV,BAT049,53,29532,6,18.6,43.51,367.97,222.04,88.3,80.9,573,573
EV1452,Tata Nexon EV,BAT003,35,37475,44,35.7,34.2,353.23,239.98,89.88,85.4,572,572
EV1453,Mahindra XUV400,BAT044,68,49285,18,24.2,34.26,361.11,222.36,84.11,68.9,571,571
EV1454,Mahindra XUV400,BAT023,34,42708,47,41.9,28.98,419.06,191.52,73.63,38.9,570,570
EV1455,Mahindra XUV400,BAT036,73,118453,20,54.1,32.02,371.73,231.02,60,0,569,569
EV1456,Nissan Leaf,BAT005,41,35623,16,29,32,357.92,136.37,74.08,40.2,568,568
EV1457,BYD Atto 3,BAT023,80,73004,61,30.4,22.27,380.24,165.14,60,0,567,567
EV1458,Kia EV6,BAT018,48,36537,41,25.4,27.05,366.9,101.23,77.28,49.4,566,566
EV1459,MG ZS EV,BAT005,35,63741,44,60.7,39.64,370.62,146.14,83.21,66.3,565,565
EV1460,Audi e-tron,BAT040,24,17390,28,24.2,36.95,413.11,276.31,88.72,82.1,564,564
EV1461,BYD Atto 3,BAT041,71,35517,22,16.7,23.88,360.85,197.21,63.7,10.6,563,563
EV1462,Kia EV6,BAT041,93,123430,46,44.2,25.26,400.81,206.63,61.66,4.7,562,562
EV1463,Hyundai Kona EV,BAT013,85,133057,20,52.2,41.5,368.12,285.44,76.51,47.2,561,561
EV1464,Tesla Model 3,BAT009,11,19760,13,59.9,33.21,406.12,272.25,91.03,88.7,560,560
EV1465,Tesla Model 3,BAT031,80,113006,20,47.1,33.95,391.05,265.83,74.62,41.8,559,559
EV1466,Kia EV6,BAT015,79,78559,26,33.1,22.95,411.67,175.5,60,0,558,558
EV1467,BMW i4,BAT037,64,122215,59,63.7,26.68,403.08,181.16,60,0,557,557
EV1468,Hyundai Kona EV,BAT027,6,10642,21,59.1,36.1,353.53,162.8,95.38,101.1,556,556
EV1469,Mahindra XUV400,BAT026,3,1612,16,17.9,29.77,371.65,139.79,97.46,107,555,555
EV1470,Kia EV6,BAT026,29,38491,40,44.2,37.87,406,207.77,77.23,49.2,554,554
EV1471,Mahindra XUV400,BAT045,38,49944,10,43.8,30.09,358.98,128.47,73.14,37.5,553,553
EV1472,Kia EV6,BAT026,83,52511,51,21.1,23.31,361.86,256.47,68.34,23.8,552,552
EV1473,Nissan Leaf,BAT026,95,115153,64,40.4,43.32,396.74,192.33,60,0,551,551
EV1474,Kia EV6,BAT005,66,104223,29,52.6,22.62,361.75,242.5,60,0,550,550
EV1475,Tata Nexon EV,BAT020,61,72911,38,39.8,44.05,390.51,219.85,60,0,549,549
EV1476,BYD Atto 3,BAT047,43,51898,54,40.2,29.74,395.87,283.76,67.51,21.5,548,548
EV1477,Tata Nexon EV,BAT028,7,10066,53,47.9,29.55,373.74,194.56,95.95,102.7,547,547
EV1478,MG ZS EV,BAT029,84,95726,11,38,26.61,418.34,268.22,60,0,546,546
EV1479,BYD Atto 3,BAT001,26,49801,65,63.8,32.77,401.46,267.41,79.39,55.4,545,545
EV1480,Tesla Model 3,BAT032,68,127869,23,62.7,36.97,360.93,122.4,60,0,544,544
EV1481,Hyundai Kona EV,BAT016,65,117371,21,60.2,35.37,395.8,112.48,75.34,43.8,543,543
EV1482,BMW i4,BAT038,34,42089,14,41.3,42.51,397.06,264.7,80.62,58.9,542,542
EV1483,BYD Atto 3,BAT026,61,116757,63,63.8,41.83,372.05,163.26,81.19,60.5,541,541
EV1484,Nissan Leaf,BAT048,78,51350,38,21.9,41.53,401.78,256.86,70.68,30.5,540,540
EV1485,Kia EV6,BAT011,27,30208,20,37.3,21.8,379.38,110.64,79.59,56,539,539
EV1486,Nissan Leaf,BAT035,44,87781,64,66.5,38.86,405.53,116.97,80.02,57.2,538,538
EV1487,Audi e-tron,BAT015,17,19483,58,38.2,29.14,419.4,159.5,90.41,86.9,537,537
EV1488,BMW i4,BAT001,3,2025,41,22.5,28.45,353.68,241.76,96.9,105.4,536,536
EV1489,BMW i4,BAT045,81,109408,18,45,27.42,381.12,111.35,60,0,535,535
EV1490,BMW i4,BAT047,58,98832,49,56.8,40.74,390.87,222.02,60,0,534,534
EV1491,Kia EV6,BAT044,11,8680,69,26.3,28.48,405.72,202.01,94.36,98.2,533,533
EV1492,Kia EV6,BAT033,52,103118,38,66.1,33.42,370.35,108.3,65.77,16.5,532,532
EV1493,Audi e-tron,BAT035,54,65529,68,40.5,37.29,404.25,196.74,64.45,12.7,531,531
EV1494,MG ZS EV,BAT050,22,16161,63,24.5,33.34,369.29,189.68,85.54,73,530,530
EV1495,Kia EV6,BAT035,80,145525,66,60.6,41.76,390.83,146.8,70.81,30.9,529,529
EV1496,Nissan Leaf,BAT006,51,96312,67,62.9,29.6,365.14,222.05,60.58,1.7,528,528
EV1497,Mahindra XUV400,BAT044,31,19642,19,21.1,44.56,410.8,114.02,81.99,62.8,527,527
EV1498,Hyundai Kona EV,BAT017,34,35518,19,34.8,28.23,372.62,130.13,79.73,56.4,526,526
EV1499,MG ZS EV,BAT004,80,151902,66,63.3,37.13,401.83,237.76,60,0,525,525
EV1500,Tesla Model 3,BAT048,90,164188,27,60.8,31.28,393.97,190.09,60,0,760,760
EV1501,Nissan Leaf,BAT002,74,138323,33,62.3,41.87,411.32,211.09,82.62,64.6,759,759
EV1502,Hyundai Kona EV,BAT009,7,6922,43,33,31.48,369.15,264.85,96.59,104.5,758,758
EV1503,Kia EV6,BAT047,57,66856,11,39.1,37.9,360.21,291.91,81.24,60.7,757,757
EV1504,BYD Atto 3,BAT026,65,71354,6,36.6,21.59,352.68,271.35,61.26,3.6,756,756
EV1505,Mahindra XUV400,BAT034,34,25728,16,25.2,29.28,379.86,202.55,91.51,90,755,755
EV1506,Audi e-tron,BAT014,56,110951,24,66,31.25,381.03,205.43,63.31,9.5,754,754
EV1507,BYD Atto 3,BAT021,65,84944,16,43.6,34.6,374.79,179,61.35,3.9,753,753
EV1508,Tesla Model 3,BAT013,17,14270,17,28,26.82,398.45,296.02,94.82,99.5,752,752
EV1509,Hyundai Kona EV,BAT030,21,39964,57,63.4,42.12,413.81,263.82,92.95,94.1,751,751
EV1510,MG ZS EV,BAT027,52,71282,33,45.7,34.74,394.87,279.91,77.63,50.4,750,750
EV1511,Tata Nexon EV,BAT010,17,9120,18,17.9,35.29,404.94,218.06,95.59,101.7,749,749
EV1512,Nissan Leaf,BAT007,93,115270,65,41.3,41.77,366.08,283.96,60,0,748,748
EV1513,Nissan Leaf,BAT009,48,59589,25,41.4,28.49,387.46,122.15,70.65,30.4,747,747
EV1514,BMW i4,BAT007,39,64278,42,54.9,33.81,395.7,286.89,73.49,38.5,746,746
EV1515,Hyundai Kona EV,BAT041,75,105489,62,46.9,27.81,350.23,116.05,81.3,60.9,745,745
EV1516,Audi e-tron,BAT045,93,55080,65,19.7,40.49,369.1,239.46,60,0,744,744
EV1517,Nissan Leaf,BAT026,75,87592,63,38.9,43.09,404.79,217.83,60,0,743,743
EV1518,BMW i4,BAT010,72,92211,21,42.7,21.84,418.15,113.31,60,0,742,742
EV1519,Mahindra XUV400,BAT001,40,50862,17,42.4,31.23,359.51,146.52,88.88,82.5,741,741
EV1520,Tata Nexon EV,BAT006,57,48450,66,28.3,30.43,368.59,240.42,67.93,22.7,740,740
EV1521,BYD Atto 3,BAT040,90,148346,39,54.9,24.82,418.42,244.84,65.37,15.3,739,739
EV1522,Nissan Leaf,BAT023,67,77131,26,38.4,24.43,367.88,204.32,67.68,21.9,738,738
EV1523,Hyundai Kona EV,BAT039,34,62047,20,60.8,43.49,399.4,209.54,83.14,66.1,737,737
EV1524,Nissan Leaf,BAT024,51,90579,40,59.2,21.35,399.35,256.75,73.22,37.8,736,736
EV1525,Tata Nexon EV,BAT013,59,57815,10,32.7,23.77,355.36,125.85,61.2,3.4,735,735
EV1526,Tata Nexon EV,BAT016,15,15337,10,34.1,42.34,372.21,148.31,93.74,96.4,734,734
EV1527,Hyundai Kona EV,BAT013,53,91867,29,57.8,43.26,385.35,185.02,66.08,17.4,733,733
EV1528,Nissan Leaf,BAT027,67,97124,54,48.3,36.24,356.56,105.31,60,0,732,732
EV1529,MG ZS EV,BAT006,81,71870,17,29.6,20.98,356.27,147.15,63.54,10.1,731,731
EV1530,Mahindra XUV400,BAT032,95,105604,39,37.1,43.29,361.3,150.64,60,0,730,730
EV1531,Nissan Leaf,BAT028,8,15082,43,62.8,37.43,355.49,243.36,94.96,99.9,729,729
EV1532,Hyundai Kona EV,BAT040,19,16534,65,29,30.5,357.53,118.52,89.8,85.1,728,728
EV1533,BYD Atto 3,BAT037,89,106491,26,39.9,38.78,358.92,214.81,60,0,727,727
EV1534,Nissan Leaf,BAT015,62,91369,17,49.1,39.72,366.46,169.38,76.14,46.1,726,726
EV1535,Hyundai Kona EV,BAT022,44,54832,45,41.5,27.89,396.79,134.58,73.63,38.9,725,725
EV1536,Kia EV6,BAT006,24,42600,37,59.2,35.36,377.81,299.75,90.87,88.2,724,724
EV1537,Mahindra XUV400,BAT031,59,101236,10,57.2,20.26,413.14,287.37,80.83,59.5,723,723
EV1538,Kia EV6,BAT020,14,24395,66,58.1,32.87,416.11,232.36,89.37,83.9,722,722
EV1539,Mahindra XUV400,BAT013,61,67299,50,36.8,41.9,407.69,260.69,76.76,47.9,721,721
EV1540,Tesla Model 3,BAT035,1,1516,41,50.5,30.53,403.48,209.34,98.23,109.2,720,720
EV1541,Tata Nexon EV,BAT025,33,64675,11,65.3,20.05,405.99,134.52,82.2,63.4,719,719
EV1542,Audi e-tron,BAT039,65,63597,36,32.6,33.82,391.27,114.51,60,0,718,718
EV1543,BMW i4,BAT009,82,124463,21,50.6,33.35,390.92,208.85,78.61,53.2,717,717
EV1544,Kia EV6,BAT050,15,21587,27,48,30.1,387.57,197.14,92.45,92.7,716,716
EV1545,MG ZS EV,BAT002,7,5909,20,28.1,37.77,357.42,126.07,95.06,100.2,715,715
EV1546,BYD Atto 3,BAT005,47,75937,9,53.9,32.64,407.14,153.75,69.77,27.9,714,714
EV1547,BMW i4,BAT008,16,8348,67,17.4,21.03,363.54,234.14,93.24,95,713,713
EV1548,BYD Atto 3,BAT017,31,44419,46,47.8,21.67,364.08,240.53,91.3,89.4,712,712
EV1549,Mahindra XUV400,BAT007,79,152263,69,64.2,34.71,408.93,278.47,63.39,9.7,711,711
EV1550,BMW i4,BAT036,44,32441,37,24.6,25.92,380.03,161.01,65.25,15,710,710
EV1551,Tata Nexon EV,BAT002,21,11362,57,18,37.39,399.55,209,87.59,78.8,709,709
EV1552,Nissan Leaf,BAT008,32,30505,48,31.8,32.57,359.88,101.71,82.91,65.5,708,708
EV1553,Hyundai Kona EV,BAT018,69,85498,43,41.3,31.13,381.58,244.96,61.89,5.4,707,707
EV1554,Tesla Model 3,BAT038,74,125196,22,56.4,23.15,385.05,173.25,76.91,48.3,706,706
EV1555,Nissan Leaf,BAT024,59,45645,33,25.8,40.99,381.43,101.97,79.43,55.5,705,705
EV1556,Audi e-tron,BAT039,34,44217,51,43.4,32.14,356.91,141.45,87.2,77.7,704,704
EV1557,Audi e-tron,BAT008,11,6760,66,20.5,33.95,387,105.8,90.02,85.8,703,703
EV1558,Tata Nexon EV,BAT001,12,12874,26,35.8,24.23,357.21,208.52,92.79,93.7,702,702
EV1559,Kia EV6,BAT003,26,43316,6,55.5,25.3,419.88,130.7,84.42,69.8,701,701
EV1560,MG ZS EV,BAT025,1,548,5,18.3,41.29,369.5,193.79,99.32,112.3,918,918
EV1561,Audi e-tron,BAT028,58,73810,19,42.4,35.18,382.44,104.74,68.41,24,917,917
EV1562,BMW i4,BAT021,70,126417,49,60.2,40.06,382.49,219.78,80.16,57.6,916,916
EV1563,Hyundai Kona EV,BAT019,43,69613,67,54,27.99,408.83,282.01,68.99,25.7,915,915
EV1564,Mahindra XUV400,BAT047,7,10900,47,51.9,25.26,352.28,207.16,97.01,105.7,914,914
EV1565,Tata Nexon EV,BAT033,79,43204,7,18.2,43.46,389.84,215.22,60,0,913,913
EV1566,BMW i4,BAT036,80,123518,43,51.5,38.1,401.86,105.04,60,0,912,912
EV1567,Hyundai Kona EV,BAT033,77,137485,13,59.5,31.35,395.37,274.88,72.66,36.2,911,911
EV1568,BYD Atto 3,BAT025,88,112981,40,42.8,25.95,410.39,162.89,60,0,910,910
EV1569,Kia EV6,BAT046,46,76314,39,55.3,34.53,384.69,288.64,65.15,14.7,909,909
EV1570,Tesla Model 3,BAT025,45,89617,45,66.4,32.16,372.69,166.39,83.97,68.5,908,908
EV1571,BMW i4,BAT040,89,115445,6,43.2,41.23,399.64,176.75,60,0,907,907
EV1572,Tata Nexon EV,BAT003,48,65485,17,45.5,27.77,370.59,253.8,63.99,11.4,906,906
EV1573,Kia EV6,BAT042,49,32174,59,21.9,31.03,406.56,223.21,67.97,22.8,905,905
EV1574,Tesla Model 3,BAT026,6,11487,21,63.8,28.49,368.23,122.19,97.36,106.7,904,904
EV1575,BMW i4,BAT032,43,31148,46,24.1,35.83,392.66,260.92,65.85,16.7,903,903
EV1576,BMW i4,BAT038,30,43239,8,48,21.23,414.07,250.22,77.54,50.1,902,902
EV1577,MG ZS EV,BAT004,5,7292,9,48.6,35.41,408.01,127.84,97.95,108.4,901,901
EV1578,Tesla Model 3,BAT011,32,29933,19,31.2,31.26,415.97,139.04,74.5,41.4,900,900
EV1579,Audi e-tron,BAT040,77,50869,35,22,36.85,376.58,254.48,79.78,56.5,899,899
EV1580,Tesla Model 3,BAT012,54,43611,27,26.9,24.63,354.95,115.98,60.9,2.6,898,898
EV1581,Kia EV6,BAT030,93,175985,51,63.1,41.65,396.09,144.56,60,0,897,897
EV1582,Nissan Leaf,BAT008,17,33383,22,65.5,28.81,378.47,296.04,94.65,99,896,896
EV1583,Tata Nexon EV,BAT010,3,2628,16,29.2,32.13,411.33,168.42,98.1,108.9,895,895
EV1584,BMW i4,BAT024,33,32226,60,32.6,34.56,382.74,266.86,75.6,44.6,894,894
EV1585,Kia EV6,BAT016,21,19154,52,30.4,22.72,357.68,177.07,81.74,62.1,893,893
EV1586,Kia EV6,BAT014,2,2924,70,48.7,33.73,368.98,172.22,97.36,106.7,892,892
EV1587,Tata Nexon EV,BAT018,70,129970,29,61.9,38.07,371.14,278.99,60,0,891,891
EV1588,MG ZS EV,BAT033,14,18784,11,44.7,24.64,409.9,258.97,88.85,82.4,890,890
EV1589,Hyundai Kona EV,BAT021,14,23098,5,55,41.89,393.1,220.12,92.36,92.5,889,889
EV1590,BMW i4,BAT037,26,24685,26,31.6,44.14,388.04,103.37,80.01,57.2,888,888
EV1591,MG ZS EV,BAT023,93,71411,29,25.6,20.82,391.61,125.3,68.96,25.6,887,887
EV1592,Audi e-tron,BAT025,57,66691,22,39,23.6,377.96,207.12,61.26,3.6,886,886
EV1593,Mahindra XUV400,BAT011,53,37663,32,23.7,38.11,407.02,248.14,60,0,885,885
EV1594,MG ZS EV,BAT011,51,75372,14,49.3,34.05,351.8,275.41,65.55,15.9,884,884
EV1595,Tata Nexon EV,BAT016,58,50278,14,28.9,26.64,411.47,168.23,83.44,67,883,883
EV1596,Nissan Leaf,BAT038,81,56522,65,23.3,26.05,400.83,120.69,60,0,882,882
EV1597,Audi e-tron,BAT014,65,121416,46,62.3,28,374.55,134.67,66.63,18.9,881,881
EV1598,MG ZS EV,BAT029,54,70049,59,43.2,33.19,384.84,299.03,73.14,37.5,880,880
EV1599,Hyundai Kona EV,BAT036,84,58425,6,23.2,25.16,385.82,120.18,60.56,1.6,879,879
EV1600,Hyundai Kona EV,BAT037,77,153704,9,66.5,44.82,416.7,212.61,70.55,30.1,878,878
EV1601,Hyundai Kona EV,BAT027,66,44547,28,22.5,37.67,365.79,213.97,60,0,877,877
EV1602,BMW i4,BAT016,49,87722,19,59.7,33.26,371.02,209.67,61.21,3.5,876,876
EV1603,Kia EV6,BAT009,42,58731,41,46.6,42.89,402.88,172.49,68.55,24.4,875,875
EV1604,Tata Nexon EV,BAT007,48,68718,7,47.7,32.42,394.56,234.22,71.1,31.7,874,874
EV1605,Audi e-tron,BAT013,13,14958,23,38.4,30.63,392.66,269.23,89.84,85.3,873,873
EV1606,Hyundai Kona EV,BAT045,11,7921,43,24,40.96,364.44,150.38,92.71,93.5,872,872
EV1607,Nissan Leaf,BAT024,71,114860,7,53.9,38.86,351.98,130.39,81.29,60.8,871,871
EV1608,Mahindra XUV400,BAT028,6,6402,58,35.6,33.11,381.19,160.05,96.91,105.5,870,870
EV1609,BMW i4,BAT018,57,41238,27,24.1,39.9,384.74,165.79,81.16,60.5,869,869
EV1610,BYD Atto 3,BAT011,70,94569,21,45,38.77,370.38,128.37,81.51,61.5,868,868
EV1611,Tata Nexon EV,BAT018,33,46488,15,47,44.66,351.43,135.44,84.11,68.9,867,867
EV1612,Tata Nexon EV,BAT028,72,68139,8,31.5,20.96,367.45,208.68,60,0,866,866
EV1613,Kia EV6,BAT024,30,35503,64,39.4,39.8,384.59,244.02,85.01,71.5,865,865
EV1614,Nissan Leaf,BAT026,52,45420,5,29.1,39.29,398.41,207.18,75.19,43.4,864,864
EV1615,Kia EV6,BAT006,63,36163,58,19.1,43.53,405.15,172.98,85.41,72.6,863,863
EV1616,BYD Atto 3,BAT012,86,170321,30,66,37.78,366.56,296.85,72.37,35.3,862,862
EV1617,Tesla Model 3,BAT025,66,110517,26,55.8,44.47,397.48,241.2,61.78,5.1,861,861
EV1618,Tata Nexon EV,BAT007,24,25418,22,35.3,34.33,391.34,141.86,91.22,89.2,860,860
EV1619,Audi e-tron,BAT006,94,167061,16,59.2,35.08,358.76,162.71,60,0,859,859
EV1620,Kia EV6,BAT010,14,11549,34,27.5,27.28,406.57,104.57,93.67,96.2,516,516
EV1621,Tata Nexon EV,BAT019,23,17495,54,25.4,28.19,413.38,238.93,89.01,82.9,515,515
EV1622,Mahindra XUV400,BAT028,68,46680,64,22.9,22.34,361.66,268.07,82.42,64.1,514,514
EV1623,BYD Atto 3,BAT015,61,36121,47,19.7,20.3,379.5,149.38,84.38,69.7,513,513
EV1624,BYD Atto 3,BAT004,45,63882,53,47.3,43.39,357.37,257.81,83.84,68.1,512,512
EV1625,Audi e-tron,BAT021,85,162240,54,63.6,27.57,374.57,129.81,60,0,511,511
EV1626,BMW i4,BAT036,67,40824,36,20.3,29.03,403.41,102.34,79.56,55.9,510,510
EV1627,Tata Nexon EV,BAT012,21,28653,33,45.5,28.94,375.03,133.75,89.32,83.8,509,509
EV1628,BMW i4,BAT024,4,5130,6,42.8,43.69,392.63,152.51,97.7,107.7,508,508
EV1629,Nissan Leaf,BAT049,91,80654,30,29.5,28.57,370.54,291.95,64.28,12.2,507,507
EV1630,Tata Nexon EV,BAT039,69,131134,13,63.3,43.5,419.1,246.45,65.39,15.4,506,506
EV1631,Audi e-tron,BAT044,95,169154,25,59.4,34.31,376.99,133.28,60,0,505,505
EV1632,Nissan Leaf,BAT041,4,6829,23,56.9,35.83,365.58,234.66,98.17,109.1,504,504
EV1633,Mahindra XUV400,BAT024,28,53180,31,63.3,22.54,400.43,175.01,85.72,73.5,503,503
EV1634,MG ZS EV,BAT020,68,94388,67,46.3,29.24,406.78,215.38,83.34,66.7,502,502
EV1635,Audi e-tron,BAT029,78,42742,66,18.3,27.77,411.32,129.04,67.35,21,501,501
EV1636,Kia EV6,BAT026,53,100894,32,63.5,23.01,354.4,274.72,62.04,5.8,500,500
EV1637,Nissan Leaf,BAT026,3,2257,21,25.1,31.12,362.09,210.81,97.26,106.5,499,499
EV1638,MG ZS EV,BAT010,92,168015,37,60.9,44.21,376.83,231.3,60,0,498,498
EV1639,Kia EV6,BAT024,92,76559,8,27.7,25.73,394.05,209.17,74.06,40.2,497,497
EV1640,MG ZS EV,BAT008,78,108678,9,46.4,28.72,390.94,248.59,84.02,68.6,496,496
EV1641,Tata Nexon EV,BAT013,41,44884,40,36.5,21.72,357.24,254.57,77.3,49.4,495,495
EV1642,Kia EV6,BAT017,47,50151,13,35.6,43.93,358.56,266.46,70.92,31.2,494,494
EV1643,Tesla Model 3,BAT022,52,58027,21,37.2,39.68,393.67,176.72,70.29,29.4,493,493
EV1644,Hyundai Kona EV,BAT005,79,105667,14,44.6,44.42,351.52,190.65,60,0,492,492
EV1645,Audi e-tron,BAT002,9,6584,44,24.4,40.9,416.06,155.59,94.94,99.8,491,491
EV1646,Hyundai Kona EV,BAT024,41,72704,26,59.1,32.25,418.74,249.77,80.51,58.6,490,490
EV1647,BYD Atto 3,BAT018,66,54703,41,27.6,26.06,409.41,243.97,60,0,489,489
EV1648,Audi e-tron,BAT034,6,11465,58,63.7,33.01,392.83,281.8,96.91,105.5,488,488
EV1649,Hyundai Kona EV,BAT006,45,84505,24,62.6,39.6,383.66,140.15,71.22,32.1,487,487
EV1650,Kia EV6,BAT039,44,33481,47,25.4,28.61,401.96,207.86,75.88,45.4,486,486
EV1651,MG ZS EV,BAT038,94,60031,67,21.3,43.81,353.48,242.78,61.27,3.6,485,485
EV1652,BYD Atto 3,BAT021,28,22731,57,27.1,27.74,351.44,278.15,79.73,56.4,484,484
EV1653,BYD Atto 3,BAT047,22,23949,10,36.3,26.63,416.99,200.98,91.15,89,483,483
EV1654,Mahindra XUV400,BAT035,91,81721,44,29.9,38.52,358.48,212.34,68.33,23.8,482,482
EV1655,Mahindra XUV400,BAT009,21,33259,32,52.8,24.28,352.01,207.5,89.47,84.2,481,481
EV1656,MG ZS EV,BAT044,73,78835,12,36,32.91,363.36,279.48,71.08,31.7,480,480
EV1657,Audi e-tron,BAT038,3,5577,61,62,34.1,358.59,231.14,96.96,105.6,479,479
EV1658,Tesla Model 3,BAT050,71,106808,24,50.1,43.1,374.62,124.56,60.32,0.9,478,478
EV1659,BMW i4,BAT026,84,46796,20,18.6,23.07,417.58,108.04,82.49,64.3,477,477
EV1660,BYD Atto 3,BAT046,33,61766,29,62.4,37.69,409.17,212.74,89.18,83.4,476,476
EV1661,Mahindra XUV400,BAT010,73,130959,55,59.8,37.06,415.56,169.36,60,0,475,475
EV1662,Mahindra XUV400,BAT024,34,18057,57,17.7,26.15,379.4,232.51,78.84,53.8,474,474
EV1663,BMW i4,BAT026,23,25245,11,36.6,31.29,361.13,250.49,90.8,88,473,473
EV1664,Tata Nexon EV,BAT035,42,71352,21,56.6,26.13,411.57,168.73,66.9,19.7,472,472
EV1665,Hyundai Kona EV,BAT018,67,63946,55,31.8,34.37,352.15,180.03,60,0,471,471
EV1666,Hyundai Kona EV,BAT031,53,34594,45,21.8,44.58,394.48,236.87,60.89,2.5,470,470
EV1667,MG ZS EV,BAT034,64,35617,12,18.6,37.77,367.68,207.92,63.43,9.8,469,469
EV1668,Kia EV6,BAT021,94,125255,53,44.4,36.96,351.74,249.04,60,0,468,468
EV1669,MG ZS EV,BAT024,15,12493,43,27.8,35.94,398.39,122.27,88,80,467,467
